ID,title,year,director,writer,actor
1047,Robots,2005,Chris Wedge;Carlos Saldanha,David Lindsay-Abaire;Lowell Ganz;Babaloo Mandel;Ron Mita;Jim McClain,Robin Williams;Ewan McGregor;Halle Berry;Mel Brooks
1048,Glory,1989,Edward Zwick,Kevin Jarre,Matthew Broderick;Denzel Washington;Cary Elwes;Morgan Freeman
1049,Vicky Cristina Barcelona,2008,Woody Allen,Woody Allen,Scarlett Johansson;Rebecca Hall;Javier Bardem;Penélope Cruz
1050,This Is 40,2012,Judd Apatow,Judd Apatow,Paul Rudd;Leslie Mann;Jason Segel;Maude Apatow
1051,Free Birds,2013,Jimmy Hayward,David I. Stern;John J. Strauss;Jimmy Hayward;Scott Mosier,Woody Harrelson;Owen Wilson;Amy Poehler;Dan Fogler
1052,Out of the Furnace,2013,Scott Cooper,Scott Cooper;Brad Ingelsby,Christian Bale;Zoe Saldana;Woody Harrelson;Sam Shepard
1053,The Grandmaster,2013,Wong Kar-Wai,Wong Kar-Wai,Tony Leung Chiu-Wai;Zhang Ziyi;Song Hye-Kyo;Chang Chen
1055,Home Sweet Hell,2015,Anthony Burns,Carlo Allen;Ted Elrick;Tom Lavagnino,Katherine Heigl;Patrick Wilson;Jordana Brewster;Jim Belushi
1056,The Losers,2010,Sylvain White,Peter Berg;James Vanderbilt,Zoe Saldana;Jason Patric;Jeffrey Dean Morgan;Chris Evans
1057,Flight,2012,Robert Zemeckis,John Gatins,Denzel Washington;Don Cheadle;Bruce Greenwood;Kelly Reilly
1058,Midnight Run,1988,Martin Brest,George Gallo,Robert De Niro;Charles Grodin;Yaphet Kotto;John Ashton
1059,Wrath of the Titans,2012,Jonathan Liebesman,David Johnson;Dan Mazeau,Liam Neeson;Sam Worthington;Ralph Fiennes;Rosamund Pike
1060,TRON: Legacy,2010,Joseph Kosinski,Adam Horowitz;Richard Jefferies;Edward Kitsis;Steven Lisberger,Garrett Hedlund;Jeff Bridges;Olivia Wilde;Bruce Boxleitner
1061,Orphan,2009,Jaume Collet-Serra,David Johnson;Alex Mace,Vera Farmiga;Peter Sarsgaard;Isabelle Fuhrman;CCH Pounder
1062,The Great Dictator,1940,Charles Chaplin,Charles Chaplin,Charles Chaplin;Jack Oakie;Reginald Gardiner;Henry Daniell
1063,The Hangover Part II,2011,Todd Phillips,Scot Armstrong;Craig Mazin,Bradley Cooper;Ed Helms;Zach Galifianakis;Justin Bartha
1064,The Break-Up,2006,Peyton Reed,Jeremy Garelick;Jay Lavender;Vince Vaughn,Vince Vaughn;Jennifer Aniston;Joey Lauren Adams;Cole Hauser
1065,Unknown,2011,Jaume Collet-Serra,Didier Van Cauwelaert;Oliver Butcher;Stephen Cornwell,Liam Neeson;Diane Kruger;January Jones;Aidan Quinn
1066,From Dusk Till Dawn,1996,Robert Rodriguez,Quentin Tarantino;Robert Kurtzman,George Clooney;Quentin Tarantino;Harvey Keitel;Juliette Lewis
1067,Carrie,1976,Brian De Palma,Lawrence D. Cohen;Stephen King,Sissy Spacek;Piper Laurie;Amy Irving;William Katt
1068,Saw II,2005,Darren Lynn Bousman,Leigh Whannell;Darren Lynn Bousman,Tobin Bell;Shawnee Smith;Donnie Wahlberg;Franky G
1069,Under the Skin,2014,Jonathan Glazer,Walter Campbell;Jonathan Glazer;Michel Faber,Scarlett Johansson;Kryštof Hádek;Paul Brannigan;Michael Moreland
1070,Rocky,1976,John G. Avildsen,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers
1071,Planet of the Apes,2001,Tim Burton,William Broyles Jr.;Lawrence Konner;Mark Rosenthal;Pierre Boulle,Mark Wahlberg;Tim Roth;Helena Bonham Carter;Michael Clarke Duncan
1072,The Great Escape,1963,John Sturges,James Clavell;Paul Brickhill;W.R. Burnett,Steve McQueen;James Garner;Richard Attenborough;James Donald
1073,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Larry Charles,Anthony Hines;Sacha Baron Cohen;Peter Baynham;Dan Mazer;Todd Phillips,Sacha Baron Cohen;Ken Davitian;Luenell;Pamela Anderson
1074,Drag Me to Hell,2009,Sam Raimi,Sam Raimi;Ivan Raimi,Alison Lohman;Justin Long;Lorna Raver;Dileep Rao
1075,From Hell,2001,Albert Hughes;Allen Hughes,Alan Moore;Eddie Campbell;Terry Hayes;Rafael Yglesias,Johnny Depp;Heather Graham;Ian Holm;Robbie Coltrane
1076,Moneyball,2011,Bennett Miller,Aaron Sorkin;Steven Zaillian;Stan Chervin;Michael Lewis,Brad Pitt;Jonah Hill;Robin Wright;Philip Seymour Hoffman
1077,The Fisher King,1991,Terry Gilliam,Richard LaGravenese,Jeff Bridges;Robin Williams;Mercedes Ruehl;Amanda Plummer
1078,The Last of the Mohicans,1992,Michael Mann,Michael Mann;Christopher Crowe;James Fenimore Cooper,Daniel Day-Lewis;Madeleine Stowe;Russell Means;Eric Schweig
1079,The Evil Dead,1981,Sam Raimi,Sam Raimi,Bruce Campbell;Ellen Sandweiss;Richard DeManincor;Betsy Baker
1080,Deliver Us from Evil,2014,Scott Derrickson,Paul Harris Boardman;Scott Derrickson,Eric Bana;Édgar Ramírez;Olivia Munn;Joel McHale
1081,Gone In Sixty Seconds,2000,Dominic Sena,H.B. Halicki;Scott Rosenberg,Nicolas Cage;Giovanni Ribisi;Angelina Jolie;T.J. Cross
1082,Pineapple Express,2008,David Gordon Green,Seth Rogen;Evan Goldberg;Judd Apatow,Seth Rogen;James Franco;Danny McBride;Kevin Corrigan
1083,Jack Ryan: Shadow Recruit,2014,Kenneth Branagh,Adam Cozad;David Koepp,Chris Pine;Keira Knightley;Kevin Costner;Nonso Anozie
1084,Sucker Punch,2011,Zack Snyder,Zack Snyder;Steve Shibuya,Emily Browning;Abbie Cornish;Jena Malone;Vanessa Hudgens
1085,Collateral,2004,Michael Mann,Stuart Beattie,Tom Cruise;Jamie Foxx;Jada Pinkett Smith;Mark Ruffalo
1086,Shanghai Noon,2000,Tom Dey,Alfred Gough;Miles Millar,Jackie Chan;Owen Wilson;Lucy Liu;Xander Berkeley
1087,Magic Mike,2012,Steven Soderbergh,Reid Carolin,Channing Tatum;Matthew McConaughey;Olivia Munn;Cody Horn
1088,Mirror Mirror,2012,Tarsem Singh,Jason Keller;Marc Klein,Lily Collins;Julia Roberts;Armie Hammer;Nathan Lane
1089,Tower Heist,2011,Brett Ratner,Adam Cooper;Bill Collage;Ted Griffin;Jeff Nathanson,Ben Stiller;Eddie Murphy;Casey Affleck;Alan Alda
1090,Born on the Fourth of July,1989,Oliver Stone,Ron Kovic;Oliver Stone,Tom Cruise;Raymond J. Barry;Caroline Kava;Holly Marie Combs
1091,The Other Boleyn Girl,2008,Justin Chadwick,Peter Morgan;Philippa Gregory,Natalie Portman;Scarlett Johansson;Eric Bana;Jim Sturgess
1092,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,Charlie Kaufman;Michel Gondry;Pierre Bismuth,Jim Carrey;Kate Winslet;Elijah Wood;Mark Ruffalo
1093,Zookeeper,2011,Frank Coraci,Nick Bakay;Kevin James,Kevin James;Rosario Dawson;Sylvester Stallone;Nick Nolte
1094,Ace Ventura: When Nature Calls,1995,Steve Oedekerk,Steve Oedekerk,Jim Carrey;Ian McNeice;Simon Callow;Maynard Eziashi
1095,True Romance,1993,Tony Scott,Quentin Tarantino;Roger Avary,Christian Slater;Patricia Arquette;Michael Rapaport;Bronson Pinchot
1096,The Girl Who Played with Fire,2009,Daniel Alfredson,Jonas Frykberg;Stieg Larsson,Michael Nyqvist;Noomi Rapace;Lena Endre;Peter Andersson
1097,Space Pirate Captain Harlock,2013,Shinji Aramaki,Harutoshi Fukui;Kiyoto Takeuchi,Shun Oguri;Haruma Miura;Yu Aoi;Arata Furuta
1098,The Last Airbender,2010,M. Night Shyamalan,M. Night Shyamalan,Noah Ringer;Nicola Peltz;Jackson Rathbone;Dev Patel
1099,I Am Number Four,2011,D.J. Caruso,Alfred Gough;Miles Millar;Marti Noxon;Jobie Hughes;James Frey,Alex Pettyfer;Timothy Olyphant;Teresa Palmer;Dianna Agron
1100,Adventureland,2009,Greg Mottola,Greg Mottola,Jesse Eisenberg;Kristen Stewart;Martin Starr;Kristen Wiig
1101,Paranormal Activity,2007,Oren Peli,Oren Peli,Katie Featherston;Micah Sloat;Mark Fredrichs;Amber Armstrong
1102,Extinction,2015,Miguel Ángel Vivas,Juan de Dios Garduño;Alberto Marini;Miguel Ángel Vivas,Matthew Fox;Jeffrey Donovan;Quinn McColgan;Valeria Vereau
1103,Battle: Los Angeles,2011,Jonathan Liebesman,Christopher Bertolini,Aaron Eckhart;Ramón Rodríguez;Will Rothhaar;Cory Hardrict
1104,Mrs. Doubtfire,1993,Chris Columbus,Anne Fine;Randi Mayem Singer;Leslie Dixon,Robin Williams;Sally Field;Pierce Brosnan;Harvey Fierstein
1105,Jack Reacher,2012,Christopher McQuarrie,Lee Child;Christopher McQuarrie,Tom Cruise;Rosamund Pike;Richard Jenkins;David Oyelowo
1106,Shrek the Third,2007,Chris Miller;Raman Hui,Jeffrey Price;Peter S. Seaman;Jon Zack,Mike Myers;Eddie Murphy;Cameron Diaz;Julie Andrews
1107,Women in Cellblock 9,1978,Jesús Franco,Jesús Franco,Karine Gambier;Howard Vernon;Susan Hemingway;Aida Gouveia
1108,Interview with the Vampire,1994,Neil Jordan,Anne Rice,Brad Pitt;Tom Cruise;Kirsten Dunst;Antonio Banderas
1109,Out of Africa,1985,Sydney Pollack,Karen Blixen;Judith Thurman;Errol Trzebinski;Kurt Luedtke,Meryl Streep;Robert Redford;Klaus Maria Brandauer;Michael Kitchen
1110,Selma,2014,Ava DuVernay,Paul Webb,David Oyelowo;Tom Wilkinson;Carmen Ejogo;Andre Holland
1111,Wrong Turn 6: Last Resort,2014,Valeri Milev,Frank H. Woodward,Chris Jarvis;Aqueela Zoll;Anthony Ilott;Sadie Katz
1112,Rear Window,1954,Alfred Hitchcock,Cornell Woolrich;John Michael Hayes,James Stewart;Grace Kelly;Wendell Corey;Thelma Ritter
1113,The Patriot,2000,Roland Emmerich,Robert Rodat,Mel Gibson;Heath Ledger;Joely Richardson;Jason Isaacs
1114,Legend,2015,Brian Helgeland,Brian Helgeland,Tom Hardy;Emily Browning;Taron Egerton;David Thewlis
1115,The Day the Earth Stood Still,2008,Scott Derrickson,David Scarpa,Keanu Reeves;Jennifer Connelly;Mousa Kraish;Shaine Jones
1116,Rocky Balboa,2006,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone;Burt Young;Milo Ventimiglia;Geraldine Hughes
1117,Stardust,2007,Matthew Vaughn,Neil Gaiman;Jane Goldman;Matthew Vaughn;Charles Vess,Charlie Cox;Claire Danes;Robert De Niro;Michelle Pfeiffer
1118,Foxcatcher,2014,Bennett Miller,E. Max Frye;Dan Futterman,Steve Carell;Channing Tatum;Mark Ruffalo;Sienna Miller
1119,The Second Best Exotic Marigold Hotel,2015,John Madden,Ol Parker,Dev Patel;Judi Dench;Richard Gere;Maggie Smith
1120,Pay the Ghost,2015,Uli Edel,Daniel Kay;Tim Lebbon,Nicolas Cage;Sarah Wayne Callies;Veronica Ferres;Lyriq Bent
1121,xXx,2002,Rob Cohen,Rich Wilkes,Vin Diesel;Asia Argento;Marton Csokas;Samuel L. Jackson
1122,Lilo & Stitch,2002,Dean DeBlois;Chris Sanders,Chris Sanders;Dean DeBlois,Daveigh Chase;Chris Sanders;Tia Carrere;David Ogden Stiers
1123,Twelve Monkeys,1995,Terry Gilliam,David Webb Peoples;Janet Peoples,Bruce Willis;Madeleine Stowe;Brad Pitt;Christopher Plummer
1124,The Cobbler,2014,Thomas McCarthy,Thomas McCarthy;Paul Sado,Adam Sandler;Dan Stevens;Steve Buscemi;Dustin Hoffman
1125,The King's Speech,2010,Tom Hooper,David Seidler,Colin Firth;Geoffrey Rush;Helena Bonham Carter;Guy Pearce
1126,Final Destination 3,2006,James Wong,James Wong;Glenn Morgan,Mary Elizabeth Winstead;Ryan Merriman;Kris Lemche;Alexz Johnson
1127,Meet the Parents,2000,Jay Roach,Jim Herzfeld;John Hamburg,Ben Stiller;Robert De Niro;Teri Polo;Blythe Danner
1128,3 Idiots,2009,Rajkumar Hirani,Rajkumar Hirani,Aamir Khan;Kareena Kapoor;Madhavan;Sharman Joshi
1129,Jumper,2008,Doug Liman,David S. Goyer;Jim Uhls;Simon Kinberg;Steven Gould,Hayden Christensen;Samuel L. Jackson;Rachel Bilson;Jamie Bell
1130,Bedtime Stories,2008,Adam Shankman,Matt Lopez;Tim Herlihy,Adam Sandler;Keri Russell;Guy Pearce;Courteney Cox
1131,Cheaper by the Dozen 2,2005,Adam Shankman,Sam Harper,Steve Martin;Eugene Levy;Bonnie Hunt;Tom Welling
1132,Lethal Weapon 4,1998,Richard Donner,Channing Gibson;Jonathan Lemkin;Alfred Gough;Miles Millar,Mel Gibson;Danny Glover;Joe Pesci;Rene Russo
1133,Sinister 2,2015,Ciaran Foy,Scott Derrickson;C. Robert Cargill,Shannyn Sossamon;James Ransone;Tate Ellington;Nicholas King
1134,Cats & Dogs,2001,Lawrence Guterman,John Requa;Glenn Ficarra,Jeff Goldblum;Elizabeth Perkins;Alexander Pollock;Miriam Margolyes
1135,Almost Famous,2000,Cameron Crowe,Cameron Crowe,Kate Hudson;Billy Crudup;Frances McDormand;Jason Lee
1137,Spy Kids 3-D: Game Over,2003,Robert Rodriguez,Robert Rodriguez,Antonio Banderas;Carla Gugino;Alexa PenaVega;Daryl Sabara
1138,PK,2014,Rajkumar Hirani,Abhijit Joshi,Aamir Khan;Anushka Sharma;Sushant Singh Rajput;Boman Irani
1139,Spy Kids 2: The Island of Lost Dreams,2002,Robert Rodriguez,Robert Rodriguez,Antonio Banderas;Carla Gugino;Alexa PenaVega;Daryl Sabara
1140,The X Files: I Want to Believe,2008,Chris Carter,Chris Carter;Frank Spotnitz,David Duchovny;Gillian Anderson;Amanda Peet;Billy Connolly
1141,Swordfish,2001,Dominic Sena,Skip Woods,John Travolta;Hugh Jackman;Halle Berry;Don Cheadle
1142,Scary Movie,2000,Keenen Ivory Wayans,Shawn Wayans;Buddy Johnson;Phil Beauman;Jason Friedberg;Aaron Seltzer;Marlon Wayans,Carmen Electra;Dave Sheridan;Anna Faris;Jon Abrahams
1143,Swat: Unit 887,2015,Timothy Woodward Jr.,Lauren De Normandie,Tom Sizemore;Mischa Barton;Michael Paré;Jeremy London
1144,Arthur and the Invisibles,2006,Luc Besson,Luc Besson;Céline Garcia,Freddie Highmore;Mia Farrow;Ron Crawford;Penny Balfour
1145,Cheeky,2000,Tinto Brass,Tinto Brass;Carla Cipriani,Yuliya Mayarchuk;Jarno Berardi;Francesca Nunzi;Max Parodi
1146,Public Enemies,2009,Michael Mann,Bryan Burrough;Michael Mann;Ronan Bennett;Ann Biderman,Christian Bale;Johnny Depp;Giovanni Ribisi;Billy Crudup
1147,Planet of the Apes,1968,Franklin J. Schaffner,Michael Wilson;Rod Serling;Pierre Boulle,Charlton Heston;Roddy McDowall;Kim Hunter;Maurice Evans
1148,Popoz,2015,Martijn Smits;Erwin van den Eshof,Wijo Koek;Martijn Smits;Erwin van den Eshof,Huub Smit;Sergio Hasselbaink;Noel Deelen;Pierre Bokma
1149,Ride Along,2014,Tim Story,Greg Coolidge;Jason Mantzoukas;Phil Hay;Matt Manfredi,Ice Cube;Kevin Hart;John Leguizamo;Tika Sumpter
1150,The SpongeBob SquarePants Movie,2004,Stephen Hillenburg,Stephen Hillenburg,Tom Kenny;Clancy Brown;Rodger Bumpass;Bill Fagerbakke
1151,Scott Pilgrim vs. the World,2010,Edgar Wright,Michael Bacall;Edgar Wright;Bryan Lee O'Malley,Michael Cera;Mary Elizabeth Winstead;Kieran Culkin;Chris Evans
1152,American Backwoods: Slew Hampshire,2015,,,Dayo Okeniyi;Tyler Rice;Shawn Thomas;Jeremy Isabella
1153,Kung Fu Jungle,2014,Teddy Chan,Teddy Chan;Lau Ho-Leung;Tin Shu Mak,Donnie Yen;Charlie Yeung;Wang Baoqiang;Bai Bing
1154,A Little Chaos,2015,Alan Rickman,Alison Deegan;Jeremy Brock;Alan Rickman,Kate Winslet;Alan Rickman;Stanley Tucci;Matthias Schoenaerts
1156,A View to a Kill,1985,John Glen,Richard Maibaum;Michael G. Wilson,Roger Moore;Christopher Walken;Tanya Roberts;Grace Jones
1157,Schindler's List,1993,Steven Spielberg,Thomas Keneally;Steven Zaillian,Liam Neeson;Ben Kingsley;Ralph Fiennes;Caroline Goodall
1158,Freddy's Dead: The Final Nightmare,1991,Rachel Talalay,Michael De Luca,Robert Englund;Lisa Zane;Shon Greenblatt;Lezlie Deane
1159,House of Wax,2005,Jaume Collet-Serra,Carey Hayes;Charles Belden;Chad Hayes,Elisha Cuthbert;Paris Hilton;Brian Van Holt;Jared Padalecki
1160,Basic Instinct,1992,Paul Verhoeven,Joe Eszterhas,Michael Douglas;Sharon Stone;George Dzundza;Jeanne Tripplehorn
1161,Seeking Justice,2011,Roger Donaldson,Todd Hickey;Robert Tannen,Nicolas Cage;Guy Pearce;January Jones;Jennifer Carpenter
1162,Hot Girls Wanted,2015,Jill Bauer;Ronna Gradus,Brittany Huckabee,Rachel Bernard;Belle Knox;Tressa Silguero;Kendall Plemons
1163,Willow,1988,Ron Howard,Bob Dolman,Warwick Davis;Val Kilmer;Joanne Whalley;Jean Marsh
1164,A Fistful of Dollars,1964,Sergio Leone,Víctor Andrés Catena;Jaime Comas Gil;Sergio Leone,Clint Eastwood;Marianne Koch;Wolfgang Lukschy;José Calvo
1165,Cloudy with a Chance of Meatballs,2009,Phil Lord;Chris Miller,Ron Barrett;Judi Barrett;Phil Lord;Chris Miller;Rob Greenberg,Bill Hader;Anna Faris;James Caan;Mr. T
1166,Rocky V,1990,John G. Avildsen,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young;Sage Stallone
1167,Nymphomaniac: Vol. I,2013,Lars von Trier,Lars von Trier,Charlotte Gainsbourg;Stellan Skarsgård;Stacy Martin;Shia LaBeouf
1168,The Mist,2007,Frank Darabont,Frank Darabont;Stephen King,Thomas Jane;Marcia Gay Harden;Laurie Holden;Toby Jones
1169,The Goonies,1985,Richard Donner,Chris Columbus,Sean Astin;Josh Brolin;Jeff Cohen;Corey Feldman
1170,The Postman,1997,Kevin Costner,Eric Roth;Brian Helgeland;David Brin,Kevin Costner;Will Patton;Olivia Williams;Larenz Tate
1171,Pan's Labyrinth,2006,Guillermo del Toro,Guillermo del Toro,Ivana Baquero;Maribel Verdú;Sergi López;Doug Jones
1172,A Late Quartet,2012,Yaron Zilberman,Seth Grossman;Yaron Zilberman,Philip Seymour Hoffman;Christopher Walken;Imogen Poots;Catherine Keener
1173,The Siege,1998,Edward Zwick,Lawrence Wright;Menno Meyjes;Edward Zwick,Denzel Washington;Annette Bening;Bruce Willis;Tony Shalhoub
1174,3-D Sex and Zen: Extreme Ecstasy,2011,Christopher Sun,,Hiro Hayama;Saori Hara;Lan Yan;Yukiko Suo
1175,Never Back Down,2008,Jeff Wadlow,Chris Hauty,Sean Faris;Amber Heard;Cam Gigandet;Djimon Hounsou
1176,50/50,2011,Jonathan Levine,Will Reiser,Joseph Gordon-Levitt;Seth Rogen;Anna Kendrick;Bryce Dallas Howard
1178,The Secret in Their Eyes,2009,Juan José Campanella,Juan José Campanella;Eduardo Sacheri,Ricardo Darín;Soledad Villamil;Pablo Rago;Javier Godino
1180,Wall Street: Money Never Sleeps,2010,Oliver Stone,Allan Loeb;Stephen Schiff,Michael Douglas;Shia LaBeouf;Josh Brolin;Carey Mulligan
1181,Training Day,2001,Antoine Fuqua,David Ayer,Denzel Washington;Ethan Hawke;Scott Glenn;Tom Berenger
1182,Alvin and the Chipmunks,2007,Tim Hill,Jon Vitti;Will McRobb;Chris Viscardi,Jason Lee;David Cross;Cameron Richardson;Jane Lynch
1183,Universal Soldier,1992,Roland Emmerich,Richard Rothstein;Christopher Leitch;Dean Devlin,Jean-Claude Van Damme;Dolph Lundgren;Ally Walker;Ed O'Ross
1184,Wallace & Gromit: The Curse of the Were-Rabbit,2005,Steve Box;Nick Park,Nick Park;Bob Baker;Steve Box;Mark Burton,Peter Sallis;Helena Bonham Carter;Ralph Fiennes;Nicholas Smith
1185,The Machinist,2004,Brad Anderson,Scott Kosar,Christian Bale;Jennifer Jason Leigh;Aitana Sánchez-Gijón;John Sharian
1186,Hot Tub Time Machine,2010,Steve Pink,Josh Heald;Sean Anders;John Morris,John Cusack;Lizzy Caplan;Rob Corddry;Craig Robinson
1187,The Hunt,2012,Thomas Vinterberg,Thomas Vinterberg;Tobias Lindholm,Mads Mikkelsen;Alexandra Rapaport;Thomas Bo Larsen;Anne Louise Hassing
1188,Catwoman,2004,Pitof,John Rogers;Theresa Rebeck;John D. Brancato;Michael Ferris,Halle Berry;Benjamin Bratt;Sharon Stone;Lambert Wilson
1189,Zipper,2015,Mora Stephens,Mora Stephens;Joel Viertel,Patrick Wilson;Lena Headey;Richard Dreyfuss;Ray Winstone
1190,Fargo,1996,Joel Coen,Joel Coen;Ethan Coen,William H. Macy;Frances McDormand;Steve Buscemi;Peter Stormare
1191,Hot Shots!,1991,Jim Abrahams,Jim Abrahams;Pat Proft,Charlie Sheen;Cary Elwes;Valeria Golino;Lloyd Bridges
1192,Cloverfield,2008,Matt Reeves,Drew Goddard,Lizzy Caplan;Jessica Lucas;Odette Annable;Michael Stahl-David
1193,[REC],2007,Jaume Balagueró;Paco Plaza,Jaume Balagueró;Paco Plaza;Luis Berdejo,Manuela Velasco;Ferran Terraza;Martha Carbonell;David Vert
1194,Hanna,2011,Joe Wright,Seth Lochhead;David Farr,Saoirse Ronan;Eric Bana;Cate Blanchett;Tom Hollander
1195,The Absent One,2014,Mikkel Nørgaard,Nikolaj Arcel;Rasmus Heisterberg,Nikolaj Lie Kaas;Fares Fares;Søren Pilmark;Danica Curcic
1196,The Abyss,1989,James Cameron,James Cameron,Ed Harris;Mary Elizabeth Mastrantonio;Michael Biehn;Leo Burmester
1197,High Fidelity,2000,Stephen Frears,Nick Hornby;D.V. DeVincentis;Steve Pink;John Cusack;Scott Rosenberg,John Cusack;Iben Hjejle;Todd Louiso;Jack Black
1198,The Mechanic,2011,Simon West,Karl Gajdusek;Richard Wenk,Jason Statham;Ben Foster;Donald Sutherland;Mini Anden
1199,The Road,2009,John Hillcoat,Cormac McCarthy;Joe Penhall,Viggo Mortensen;Kodi Smit-McPhee;Charlize Theron;Robert Duvall
1200,Backdraft,1991,Ron Howard,Gregory Widen,Kurt Russell;Robert De Niro;Donald Sutherland;William Baldwin
1201,3:10 to Yuma,2007,James Mangold,Michael Brandt;Derek Haas,Russell Crowe;Christian Bale;Logan Lerman;Dallas Roberts
1202,Amadeus,1984,Miloš Forman,Peter Shaffer,F. Murray Abraham;Tom Hulce;Elizabeth Berridge;Roy Dotrice
1203,Legion,2010,Scott Stewart,Scott Stewart;Peter Schink,Paul Bettany;Dennis Quaid;Kevin Durand;Kate Walsh
1204,The Big Lebowski,1998,Joel Coen,Ethan Coen;Joel Coen,Jeff Bridges;John Goodman;Steve Buscemi;Julianne Moore
1205,Man on Fire,2004,Tony Scott,A.J. Quinnell;Brian Helgeland,Denzel Washington;Dakota Fanning;Marc Anthony;Radha Mitchell
1206,When Harry Met Sally...,1989,Rob Reiner,Nora Ephron,Meg Ryan;Billy Crystal;Carrie Fisher;Bruno Kirby
1207,Austin Powers in Goldmember,2002,Jay Roach,Mike Myers;Michael McCullers,Mike Myers;Beyoncé Knowles;Seth Green;Michael York
1208,Scream 2,1997,Wes Craven,Kevin Williamson,David Arquette;Neve Campbell;Courteney Cox;Sarah Michelle Gellar
1209,RoboCop,1987,Paul Verhoeven,Edward Neumeier;Michael Miner,Peter Weller;Nancy Allen;Ronny Cox;Kurtwood Smith
1210,Hot Fuzz,2007,Edgar Wright,Edgar Wright;Simon Pegg,Simon Pegg;Nick Frost;Timothy Dalton;Jim Broadbent
1211,Rush Hour,1998,Brett Ratner,Jim Kouf;Ross LaManna,Jackie Chan;Chris Tucker;Ken Leung;Tom Wilkinson
1212,Night of Something Strange,2015,Jonathan Straiton,Ron Bonk;Jonathan Straiton,Nicola Fiore;Brinke Stevens;Kera O'Bryon;Janet Mayson
1213,Child's Play 2,1990,John Lafia,Don Mancini,Alex Vincent;Jenny Agutter;Gerrit Graham;Christine Elise
1214,The Searchers,1956,John Ford,Alan Le May;Frank S. Nugent,John Wayne;Jeffrey Hunter;Vera Miles;Natalie Wood
1215,Gamer,2009,Mark Neveldine;Brian Taylor,Mark Neveldine;Brian Taylor,Gerard Butler;Michael C. Hall;Logan Lerman;Amber Valletta
1216,A Brilliant Young Mind,2015,Morgan Matthews,Morgan Matthews;James Graham,Asa Butterfield;Rafe Spall;Sally Hawkins;Eddie Marsan
1217,Pain & Gain,2013,Michael Bay,Christopher Markus;Stephen McFeely,Mark Wahlberg;Dwayne Johnson;Anthony Mackie;Tony Shalhoub
1218,Waterworld,1995,Kevin Reynolds;Kevin Costner,Peter Rader;David Twohy,Kevin Costner;Chaim Girafi;Rick Aviles;R. D. Call
1219,Populaire,2012,Régis Roinsard,Régis Roinsard;Daniel Presley;Romain Compingt,Romain Duris;Déborah François;Bérénice Bejo;Shaun Benson
1220,Chicken Run,2000,Peter Lord;Nick Park,Peter Lord;Nick Park;Karey Kirkpatrick,Mel Gibson;Miranda Richardson;Timothy Spall;Imelda Staunton
1221,Joe Dirt,2001,Dennie Gordon,David Spade;Fred Wolf,David Spade;Brittany Daniel;Dennis Miller;Adam Beach
