ID,title,year,director,writer,actor
000968, True Romance, 1993, Tony Scott, Quentin Tarantino, Christian Slater; Patricia Arquette; Dennis Hopper
000969, Legally Blonde, 2001, Robert Luketic, Amanda Brown; Karen McCullah, Reese Witherspoon; Luke Wilson; Selma Blair
000970, The Devil's Advocate, 1997, Taylor Hackford, Andrew Neiderman; Jonathan Lemkin, Keanu Reeves; Al Pacino; Charlize Theron
000971, Secret in Their Eyes, 2015, Billy Ray, Billy Ray; Juan José Campanella, Chiwetel Ejiofor; Nicole Kidman; Julia Roberts
000972, Paul, 2011, Greg Mottola, Simon Pegg; Nick Frost, Simon Pegg; Nick Frost; Seth Rogen
000973, Mama(I), 2013, Andrés Muschietti, Andrés Muschietti; Barbara Muschietti, Jessica Chastain; Nikolaj Coster-Waldau; Megan Charpentier
000974, Slumdog Millionaire, 2008, Danny Boyle; Loveleen Tandan, Simon Beaufoy; Vikas Swarup, Dev Patel; Freida Pinto; Saurabh Shukla
000975, Zoolander, 2001, Ben Stiller, Drake Sather; Ben Stiller, Ben Stiller; Owen Wilson; Christine Taylor
000976, Cabin Fever, 2002, Eli Roth, Eli Roth; Randy Pearlstein, Jordan Ladd; Rider Strong; James DeBello
000977, Serena(I), 2014, Susanne Bier, Christopher Kyle; Ron Rash, Bradley Cooper; Jennifer Lawrence; Sean Harris
000979, Max(I), 2015, Boaz Yakin, Boaz Yakin; Sheldon Lettich, Thomas Haden Church; Josh Wiggins; Luke Kleintank
000980, Scary Movie, 2000, Keenen Ivory Wayans, Shawn Wayans; Marlon Wayans, Anna Faris; Jon Abrahams; Marlon Wayans
000981, A Good Year, 2006, Ridley Scott, Marc Klein; Peter Mayle, Russell Crowe; Abbie Cornish; Albert Finney
000982, Saving Mr. Banks, 2013, John Lee Hancock, Kelly Marcel; Sue Smith, Emma Thompson; Tom Hanks; Annie Rose Buckley
000983, The Lost Boys, 1987, Joel Schumacher, Jan Fischer; James Jeremias, Jason Patric; Corey Haim; Dianne Wiest
000984, Riddick, 2013, David Twohy, David Twohy; Jim Wheat, Vin Diesel; Karl Urban; Katee Sackhoff
000985, Mad Max: The Wasteland, , George Miller, George Miller, Tom Hardy; Charlize Theron
000986, Tinker Tailor Soldier Spy, 2011, Tomas Alfredson, Bridget O'Connor; Peter Straughan, Gary Oldman; Colin Firth; Tom Hardy
000987, The Second Best Exotic Marigold Hotel, 2015, John Madden, John Madden; Ol Parker, Judi Dench; Maggie Smith; Bill Nighy
000988, I Am Legend, 2007, Francis Lawrence, Mark Protosevich; Akiva Goldsman, Will Smith; Alice Braga; Charlie Tahan
000989, Friends with Benefits, 2011, Will Gluck, Keith Merryman; David A. Newman, Mila Kunis; Justin Timberlake; Patricia Clarkson
000990, Beaches, 1988, Garry Marshall, Iris Rainer; Mary Agnes Donoghue, Bette Midler; Barbara Hershey; John Heard
000991, School of Rock, 2003, Richard Linklater, Mike White, Jack Black; Mike White; Joan Cusack
000992, The Place Beyond the Pines, 2012, Derek Cianfrance, Derek Cianfrance; Ben Coccio, Ryan Gosling; Bradley Cooper; Eva Mendes
000993, Lincoln, 2012, Steven Spielberg, Tony Kushner; Doris Kearns Goodwin, Daniel Day-Lewis; Sally Field; David Strathairn
000994, Lemony Snicket's A Series of Unfortunate Events, 2004, Brad Silberling, Robert Gordon; Daniel Handler, Jim Carrey; Jude Law; Meryl Streep
000995, Charlie's Angels, 2000, McG, Ryan Rowe; Ed Solomon, Cameron Diaz; Drew Barrymore; Lucy Liu
000996, Black or White, 2014, Mike Binder, Mike Binder, Kevin Costner; Octavia Spencer; Gillian Jacobs
000997, Carrie, 1976, Brian De Palma, Stephen King; Lawrence D. Cohen, Sissy Spacek; Piper Laurie; Amy Irving
000998, The Blue Lagoon, 1980, Randal Kleiser, Henry De Vere Stacpoole; Douglas Day Stewart, Brooke Shields; Christopher Atkins; Leo McKern
000999, The Aviator, 2004, Martin Scorsese, John Logan, Leonardo DiCaprio; Cate Blanchett; Kate Beckinsale
001000, Danny Collins, 2015, Dan Fogelman, Dan Fogelman, Al Pacino; Annette Bening; Jennifer Garner
001001, Contagion, 2011, Steven Soderbergh, Scott Z. Burns, Matt Damon; Kate Winslet; Jude Law
001002, Prince of Persia: The Sands of Time, 2010, Mike Newell, Boaz Yakin; Doug Miro, Jake Gyllenhaal; Gemma Arterton; Ben Kingsley
001003, Platoon, 1986, Oliver Stone, Oliver Stone, Charlie Sheen; Tom Berenger; Willem Dafoe
001004, Oldboy, 2013, Spike Lee, Garon Tsuchiya; Nobuaki Minegishi, Josh Brolin; Elizabeth Olsen; Samuel L. Jackson
001005, How to Train Your Dragon, 2010, Dean DeBlois; Chris Sanders, William Davies; Dean DeBlois, Jay Baruchel; Gerard Butler; Christopher Mintz-Plasse
001006, One Day, 2011, Lone Scherfig, David Nicholls; David Nicholls, Anne Hathaway; Jim Sturgess; Patricia Clarkson
001007, Miss Peregrine's Home for Peculiar Children, 2016, Tim Burton, Jane Goldman; Ransom Riggs, Ella Purnell; Eva Green; Kim Dickens
001008, The November Man, 2014, Roger Donaldson, Michael Finch; Karl Gajdusek, Pierce Brosnan; Luke Bracey; Olga Kurylenko
001009, Sunshine, 2007, Danny Boyle, Alex Garland, Cillian Murphy; Rose Byrne; Chris Evans
001010, American Graffiti, 1973, George Lucas, George Lucas; Gloria Katz, Richard Dreyfuss; Ron Howard; Paul Le Mat
001011, Idiocracy, 2006, Mike Judge, Mike Judge; Mike Judge, Luke Wilson; Maya Rudolph; Dax Shepard
001012, Fantastic Beasts and Where to Find Them, 2016, David Yates, J.K. Rowling, Ezra Miller; Ron Perlman; Eddie Redmayne
001013, Parenthood, 1989, Ron Howard, Lowell Ganz; Babaloo Mandel, Steve Martin; Mary Steenburgen; Dianne Wiest
001014, Step Brothers, 2008, Adam McKay, Will Ferrell; Adam McKay, Will Ferrell; John C. Reilly; Mary Steenburgen
001015, Corpse Bride, 2005, Tim Burton; Mike Johnson, Tim Burton; Carlos Grangel, Johnny Depp; Helena Bonham Carter; Emily Watson
001016, Signs, 2002, M. Night Shyamalan, M. Night Shyamalan, Mel Gibson; Joaquin Phoenix; Rory Culkin
001017, A Little Chaos, 2014, Alan Rickman, Jeremy Brock; Alison Deegan, Kate Winslet; Alan Rickman; Stanley Tucci
001018, Slow West, 2015, John Maclean, John Maclean, Kodi Smit-McPhee; Michael Fassbender; Ben Mendelsohn
001019, Basic Instinct, 1992, Paul Verhoeven, Joe Eszterhas, Michael Douglas; Sharon Stone; George Dzundza
001020, Gangster Squad, 2013, Ruben Fleischer, Will Beall; Paul Lieberman, Sean Penn; Ryan Gosling; Emma Stone
001021, 13 Hours: The Secret Soldiers of Benghazi, 2016, Michael Bay, Chuck Hogan; Mitchell Zuckoff, John Krasinski; Pablo Schreiber; James Badge Dale
001022, Spy Kids, 2001, Robert Rodriguez, Robert Rodriguez, Alexa PenaVega; Daryl Sabara; Antonio Banderas
001023, Skin Trade, 2014, Ekachai Uekrongtham, Steven Elder; Gabriel Dowrick, Dolph Lundgren; Tony Jaa; Ron Perlman
001024, Penguins of Madagascar, 2014, Eric Darnell; Simon J. Smith, Michael Colton; John Aboud, Tom McGrath; Chris Miller; Christopher Knights
001025, Man Down(I), 2015, Dito Montiel, Adam G. Simon, Kate Mara; Jai Courtney; Shia LaBeouf
001026, Blood Diamond, 2006, Edward Zwick, Charles Leavitt; Charles Leavitt, Leonardo DiCaprio; Djimon Hounsou; Jennifer Connelly
001027, Red Dawn, 2012, Dan Bradley, Carl Ellsworth; Jeremy Passmore, Chris Hemsworth; Isabel Lucas; Josh Hutcherson
001028, Vampire Academy, 2014, Mark Waters, Richelle Mead; Daniel Waters, Zoey Deutch; Lucy Fry; Danila Kozlovsky
001029, Percy Jackson: Sea of Monsters, 2013, Thor Freudenthal, Marc Guggenheim; Rick Riordan, Logan Lerman; Alexandra Daddario; Brandon T. Jackson
001030, Knocked Up, 2007, Judd Apatow, Judd Apatow, Seth Rogen; Katherine Heigl; Paul Rudd
001031, Tremors, 1990, Ron Underwood, S.S. Wilson; Brent Maddock, Kevin Bacon; Fred Ward; Finn Carter
001032, Movie 43, 2013, Elizabeth Banks; Steven Brill, Rocky Russo; Jeremy Sosenko, Emma Stone; Stephen Merchant; Richard Gere
001033, The Day After Tomorrow, 2004, Roland Emmerich, Roland Emmerich; Roland Emmerich, Dennis Quaid; Jake Gyllenhaal; Emmy Rossum
001034, Tammy, 2014, Ben Falcone, Melissa McCarthy; Ben Falcone, Melissa McCarthy; Susan Sarandon; Kathy Bates
001035, The Rock, 1996, Michael Bay, David Weisberg; Douglas Cook, Sean Connery; Nicolas Cage; Ed Harris
001036, Super 8, 2011, J.J. Abrams, J.J. Abrams, Elle Fanning; AJ Michalka; Kyle Chandler
001037, Dog Day Afternoon, 1975, Sidney Lumet, Frank Pierson; P.F. Kluge, Al Pacino; John Cazale; Penelope Allen
001038, The Vow, 2012, Michael Sucsy, Jason Katims; Abby Kohn, Rachel McAdams; Channing Tatum; Sam Neill
001039, The King's Speech, 2010, Tom Hooper, David Seidler, Colin Firth; Geoffrey Rush; Helena Bonham Carter
001040, The Last Airbender, 2010, M. Night Shyamalan, M. Night Shyamalan, Noah Ringer; Nicola Peltz; Jackson Rathbone
001041, Love the Coopers, 2015, Jessie Nelson, Steven Rogers, Olivia Wilde; Amanda Seyfried; Marisa Tomei
001042, The Evil Dead, 1981, Sam Raimi, Sam Raimi, Bruce Campbell; Ellen Sandweiss; Richard DeManincor
001043, The Count of Monte Cristo, 2002, Kevin Reynolds, Alexandre Dumas père; Jay Wolpert, Jim Caviezel; Guy Pearce; Richard Harris
001044, Unforgiven, 1992, Clint Eastwood, David Webb Peoples, Clint Eastwood; Gene Hackman; Morgan Freeman
001045, G.I. Joe: The Rise of Cobra, 2009, Stephen Sommers, Stuart Beattie; David Elliot, Dennis Quaid; Channing Tatum; Marlon Wayans
001046, Shooter(I), 2007, Antoine Fuqua, Jonathan Lemkin; Stephen Hunter, Mark Wahlberg; Michael Peña; Rhona Mitra
001047, Caddyshack, 1980, Harold Ramis, Brian Doyle-Murray; Harold Ramis, Chevy Chase; Rodney Dangerfield; Bill Murray
001048, Sherlock Holmes: A Game of Shadows, 2011, Guy Ritchie, Michele Mulroney; Kieran Mulroney, Robert Downey Jr.; Jude Law; Jared Harris
001049, The Butler(I), 2013, Lee Daniels, Danny Strong; Wil Haygood, Forest Whitaker; Oprah Winfrey; John Cusack
001050, Mamma Mia!, 2008, Phyllida Lloyd, Catherine Johnson; Catherine Johnson, Meryl Streep; Pierce Brosnan; Amanda Seyfried
001051, The Woods(II), 2015, Corin Hardy, Corin Hardy; Felipe Marino, Joseph Mawle; Bojana Novakovic; Michael McElhatton
001052, Two Night Stand, 2014, Max Nichols, Mark Hammer, Miles Teller; Analeigh Tipton; Jessica Szohr
001053, She's the Man, 2006, Andy Fickman, Ewan Leslie; Karen McCullah, Amanda Bynes; Laura Ramsey; Channing Tatum
001054, Mulan, 1998, Tony Bancroft; Barry Cook, Robert D. San Souci; Rita Hsiao, Ming-Na Wen; Eddie Murphy; BD Wong
001055, The Talented Mr. Ripley, 1999, Anthony Minghella, Patricia Highsmith; Anthony Minghella, Matt Damon; Gwyneth Paltrow; Jude Law
001056, The Sorcerer's Apprentice, 2010, Jon Turteltaub, Lawrence Konner; Mark Rosenthal, Nicolas Cage; Jay Baruchel; Alfred Molina
001057, The Blair Witch Project, 1999, Daniel Myrick; Eduardo Sánchez, Daniel Myrick; Eduardo Sánchez, Heather Donahue; Michael C. Williams; Joshua Leonard
001058, Legion, 2010, Scott Stewart, Peter Schink; Scott Stewart, Paul Bettany; Dennis Quaid; Charles S. Dutton
001059, The Illusionist, 2006, Neil Burger, Neil Burger; Steven Millhauser, Edward Norton; Jessica Biel; Paul Giamatti
001060, What Women Want, 2000, Nancy Meyers, Josh Goldsmith; Cathy Yuspa, Mel Gibson; Helen Hunt; Marisa Tomei
001061, Trick 'r Treat, 2007, Michael Dougherty, Michael Dougherty, Anna Paquin; Brian Cox; Dylan Baker
001062, No Strings Attached(I), 2011, Ivan Reitman, Elizabeth Meriwether; Michael Samonek, Natalie Portman; Ashton Kutcher; Kevin Kline
001063, Equals, 2015, Drake Doremus, Nathan Parker, Kristen Stewart; Nicholas Hoult; Guy Pearce
001064, Body of Lies, 2008, Ridley Scott, William Monahan; David Ignatius, Leonardo DiCaprio; Russell Crowe; Mark Strong
001065, Untitled Spider-Man Reboot, 2017, Jon Watts, John Francis Daley; Steve Ditko, Marisa Tomei; Tom Holland
001066, Traffic, 2000, Steven Soderbergh, Simon Moore; Stephen Gaghan, Michael Douglas; Benicio Del Toro; Catherine Zeta-Jones
001067, The Secret in Their Eyes, 2009, Juan José Campanella, Eduardo Sacheri; Juan José Campanella, Ricardo Darín; Soledad Villamil; Pablo Rago
001068, Halloweentown, 1998, Duwayne Dunham, Paul Bernbaum; Paul Bernbaum, Debbie Reynolds; Kimberly J. Brown; Judith Hoag
001069, The Sandlot, 1993, David M. Evans, David M. Evans; Robert Gunter, Tom Guiry; Mike Vitar; Patrick Renna
001070, Airplane!, 1980, Jim Abrahams; David Zucker, Jim Abrahams; David Zucker, Robert Hays; Julie Hagerty; Leslie Nielsen
001071, Dear White People, 2014, Justin Simien, Justin Simien, Tyler James Williams; Tessa Thompson; Kyle Gallner
001072, Click, 2006, Frank Coraci, Steve Koren; Mark O'Keefe, Adam Sandler; Kate Beckinsale; Christopher Walken
001073, Blue Mountain State: The Rise of Thadland, , Lev L. Spiro, Eric Falconer; Alan Ritchson, Frankie Shaw; Alan Ritchson; Darin Brooks
001074, The Signal, 2014, William Eubank, Carlyle Eubank; William Eubank, Brenton Thwaites; Olivia Cooke; Beau Knapp
001075, The Godfather: Part III, 1990, Francis Ford Coppola, Mario Puzo; Francis Ford Coppola, Al Pacino; Diane Keaton; Andy Garcia
001076, Austin Powers: International Man of Mystery, 1997, Jay Roach, Mike Myers, Mike Myers; Elizabeth Hurley; Michael York
001077, Kill Bill: Vol. 2, 2004, Quentin Tarantino, Quentin Tarantino; Quentin Tarantino, Uma Thurman; David Carradine; Michael Madsen
001078, The Bourne Supremacy, 2004, Paul Greengrass, Robert Ludlum; Tony Gilroy, Matt Damon; Franka Potente; Joan Allen
001079, You're Next, 2011, Adam Wingard, Simon Barrett, Sharni Vinson; Joe Swanberg; AJ Bowen
001080, Gran Torino, 2008, Clint Eastwood, Nick Schenk; Dave Johannson, Clint Eastwood; Bee Vang; Christopher Carley
001081, Pitch Black, 2000, David Twohy, Jim Wheat; Ken Wheat, Radha Mitchell; Cole Hauser; Vin Diesel
001082, Ride Along 2, 2016, Tim Story, Greg Coolidge; Phil Hay, Glen Powell; Olivia Munn; Ken Jeong
001083, Non-Stop, 2014, Jaume Collet-Serra, John W. Richardson; Christopher Roach, Liam Neeson; Julianne Moore; Scoot McNairy
001084, Pain &amp; Gain, 2013, Michael Bay, Christopher Markus; Stephen McFeely, Mark Wahlberg; Dwayne Johnson; Anthony Mackie
001085, Transformers: Dark of the Moon, 2011, Michael Bay, Ehren Kruger, Shia LaBeouf; Rosie Huntington-Whiteley; Tyrese Gibson
001086, The Happening, 2008, M. Night Shyamalan, M. Night Shyamalan, Mark Wahlberg; Zooey Deschanel; John Leguizamo
001087, Blade, 1998, Stephen Norrington, David S. Goyer, Wesley Snipes; Stephen Dorff; Kris Kristofferson
001088, Addicted(I), 2014, Bille Woodruff, Christina Welsh; Ernie Barbarash, Sharon Leal; Boris Kodjoe; John Newberg
001089, The Girl with the Dragon Tattoo, 2009, Niels Arden Oplev, Nikolaj Arcel; Rasmus Heisterberg, Michael Nyqvist; Noomi Rapace; Ewa Fröling
001090, Bloodsucking Bastards, 2015, Brian James O'Connell, Dr. God; Ryan Mitts, Fran Kranz; Pedro Pascal; Joey Kern
001091, Ghost, 1990, Jerry Zucker, Bruce Joel Rubin, Patrick Swayze; Demi Moore; Whoopi Goldberg
001092, Indiana Jones and the Last Crusade, 1989, Steven Spielberg, Jeffrey Boam; George Lucas, Harrison Ford; Sean Connery; Alison Doody
001093, Rocky Balboa, 2006, Sylvester Stallone, Sylvester Stallone; Sylvester Stallone, Sylvester Stallone; Antonio Tarver; Milo Ventimiglia
001094, The Voices, 2014, Marjane Satrapi, Michael R. Perry, Ryan Reynolds; Gemma Arterton; Anna Kendrick
001095, Rio Lobo, 1970, Howard Hawks, Burton Wohl; Leigh Brackett, John Wayne; Jorge Rivero; Jennifer O'Neill
001096, Spider-Man 2, 2004, Sam Raimi, Stan Lee; Steve Ditko, Tobey Maguire; Kirsten Dunst; Alfred Molina
001097, Once Upon a Time in America, 1984, Sergio Leone, Harry Grey; Leonardo Benvenuti, Robert De Niro; James Woods; Elizabeth McGovern
001098, The Boy in the Striped Pajamas, 2008, Mark Herman, John Boyne; Mark Herman, Asa Butterfield; David Thewlis; Rupert Friend
001099, Alien: Resurrection, 1997, Jean-Pierre Jeunet, Dan O'Bannon; Ronald Shusett, Sigourney Weaver; Winona Ryder; Dominique Pinon
001100, Wedding Crashers, 2005, David Dobkin, Steve Faber; Bob Fisher, Owen Wilson; Vince Vaughn; Rachel McAdams
001101, Warm Bodies, 2013, Jonathan Levine, Jonathan Levine; Isaac Marion, Nicholas Hoult; Teresa Palmer; John Malkovich
001102, Downfall, 2004, Oliver Hirschbiegel, Bernd Eichinger; Joachim Fest, Bruno Ganz; Alexandra Maria Lara; Ulrich Matthes
001103, Once Upon a Time in the West, 1968, Sergio Leone, Sergio Donati; Sergio Leone, Henry Fonda; Charles Bronson; Claudia Cardinale
001104, The Deer Hunter, 1978, Michael Cimino, Michael Cimino; Deric Washburn, Robert De Niro; Christopher Walken; John Cazale
001105, The Wolverine, 2013, James Mangold, Mark Bomback; Scott Frank, Hugh Jackman; Will Yun Lee; Tao Okamoto
001106, The Girl on the Train, 2016, Tate Taylor, Paula Hawkins; Erin Cressida Wilson, Rebecca Ferguson; Emily Blunt; Chris Evans
001107, The Da Vinci Code, 2006, Ron Howard, Akiva Goldsman; Dan Brown, Tom Hanks; Audrey Tautou; Jean Reno
001108, Hugo, 2011, Martin Scorsese, John Logan; Brian Selznick, Asa Butterfield; Chloë Grace Moretz; Christopher Lee
001109, Horrible Bosses, 2011, Seth Gordon, Michael Markowitz; John Francis Daley, Jason Bateman; Charlie Day; Jason Sudeikis
001110, The Purge: Anarchy, 2014, James DeMonaco, James DeMonaco; James DeMonaco, Frank Grillo; Carmen Ejogo; Zach Gilford
001111, The Butterfly Effect, 2004, Eric Bress; J. Mackye Gruber, J. Mackye Gruber; Eric Bress, Ashton Kutcher; Amy Smart; Melora Walters
001112, Life of Pi, 2012, Ang Lee, Yann Martel; David Magee, Suraj Sharma; Irrfan Khan; Adil Hussain
001113, Coyote Ugly, 2000, David McNally, Gina Wendkos, Piper Perabo; Adam Garcia; John Goodman
001114, Passengers, 2016, Morten Tyldum, Jon Spaihts, Jennifer Lawrence; Chris Pratt; Michael Sheen
001115, Walk the Line, 2005, James Mangold, Johnny Cash; Johnny Cash, Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin
001116, Before I Go to Sleep, 2014, Rowan Joffe, Rowan Joffe; S.J. Watson, Nicole Kidman; Colin Firth; Mark Strong
001117, Gravy, 2015, James Roday, James Roday; Todd Harthan, Lothaire Bluteau; Lily Cole; Molly Ephraim
001118, An Inspector Calls, 2015, Aisling Walsh, J.B. Priestley; Helen Edmundson, Sophie Rundle; Lucy Chappell; Miranda Richardson
001119, The Man Who Would Be King, 1975, John Huston, John Huston; Gladys Hill, Sean Connery; Michael Caine; Christopher Plummer
001120, Seeking a Friend for the End of the World, 2012, Lorene Scafaria, Lorene Scafaria, Steve Carell; Keira Knightley; Melanie Lynskey
001121, The Holiday, 2006, Nancy Meyers, Nancy Meyers, Kate Winslet; Cameron Diaz; Jude Law
001122, Law Abiding Citizen, 2009, F. Gary Gray, Kurt Wimmer, Gerard Butler; Jamie Foxx; Leslie Bibb
001123, This Means War, 2012, McG, Timothy Dowling; Simon Kinberg, Reese Witherspoon; Chris Pine; Tom Hardy
001124, The Expendables 4, , , Dave Callaham, Sylvester Stallone; Randy Couture
001125, The Dreamers, 2003, Bernardo Bertolucci, Gilbert Adair; Gilbert Adair, Michael Pitt; Louis Garrel; Eva Green
001126, Burying the Ex, 2014, Joe Dante, Alan Trezza, Anton Yelchin; Ashley Greene; Alexandra Daddario
001127, Resident Evil: Retribution, 2012, Paul W.S. Anderson, Paul W.S. Anderson, Milla Jovovich; Sienna Guillory; Michelle Rodriguez
001128, Tucker and Dale vs. Evil, 2010, Eli Craig, Eli Craig; Morgan Jurgenson, Tyler Labine; Alan Tudyk; Katrina Bowden
001129, Inside Man, 2006, Spike Lee, Russell Gewirtz, Denzel Washington; Clive Owen; Jodie Foster
001130, A History of Violence, 2005, David Cronenberg, John Wagner; Vince Locke, Viggo Mortensen; Maria Bello; Ed Harris
001131, The Parent Trap, 1998, Nancy Meyers, Erich Kästner; David Swift, Lindsay Lohan; Dennis Quaid; Natasha Richardson
001132, After Earth, 2013, M. Night Shyamalan, Gary Whitta; M. Night Shyamalan, Jaden Smith; David Denman; Will Smith
001133, It's a Wonderful Life, 1946, Frank Capra, Frances Goodrich; Albert Hackett, James Stewart; Donna Reed; Lionel Barrymore
001134, Winter's Tale, 2014, Akiva Goldsman, Akiva Goldsman; Mark Helprin, Colin Farrell; Jessica Brown Findlay; Russell Crowe
001135, The Road(I), 2009, John Hillcoat, Cormac McCarthy; Joe Penhall, Viggo Mortensen; Charlize Theron; Kodi Smit-McPhee
