ID,Title,Author,Price,Edition,ASIN,ISBN_13,ISBN_10,Paperback,Series,Publisher_dummy,Publisher,Publication_Date,Sold_by,Language,Product Dimensions,Shipping Weight
338,Computer Accounting with QuickBooks Pro 2007,Donna Ulmer,$91.85 ,9th Edition,,978-0073526836,73526835,,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,9.5 x 1 x 10.8 inches,3 pounds (View shipping rates and policies)
339,"Computer Accounting with Peachtree Complete 2010, Release 17.0",Carol Yacht# Software Peachtree,$6.22 ,14 Spi Edition,,978-0073527147,73527149,,,Irwin/McGraw-Hill,Irwin/McGraw-Hill,,,English,10.8 x 9.3 x 1.3 inches,3.9 pounds
340,"Annual Editions: Technologies, Social Media, and Society 12/13",Paul De Palma,$7.98 ,18th Edition,,978-0073528731,73528730,208 pages,Annual Editions,McGraw-Hill/Dushkin,McGraw-Hill/Dushkin,,,English,8.5 x 0.4 x 10.7 inches,12.8 ounces
341,Business Driven Technology with Premium Content Card,Paige Baltzan# Amy Phillips# Paige Baltzan# Stephen Haag# Amy Phillips,$4.76 ,3rd Edition,,978-0077313685,77313682,,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,8 x 1.1 x 11 inches,3.4 pounds
342,Using Information Technology 9e Introductory Edition,Brian Williams# Stacey Sawyer# Brian Williams,$7.98 ,9th Edition,,978-0077331085,77331087,448 pages,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,10.7 x 8.4 x 0.8 inches,2.4 pounds
343,"Microsoft Office Access 2010: A Lesson Approach, Complete",John Carter# Jon Juarez,$43.00 - $101.06,1st Edition,,978-0077331245,77331249,,,McGraw-Hill Education,McGraw-Hill Education,,,English,8.5 x 1 x 10.9 inches,3 pounds (View shipping rates and policies)
344,"Microsoft® Office Excel 2010: A Case Approach, Introductory ",Linda O'Leary# Timothy O'Leary# Linda O'Leary,$28.50 - $66.69,1st Edition,,978-0077331269,77331265,408 pages,The O'Leary Series,McGraw-Hill Education,McGraw-Hill Education,,,English,8.1 x 0.6 x 11.2 inches,1.8 pounds (View shipping rates and policies)
345,"Microsoft® Office Word 2010: A Case Approach, Introductory ",Linda O'Leary# Timothy O'Leary# Linda O'Leary,$28.50 - $66.69,1st Edition,,978-0077331283,77331281,432 pages,O'Leary,McGraw-Hill Education,McGraw-Hill Education,,,English,8.3 x 0.6 x 10.8 inches,1.8 pounds (View shipping rates and policies)
346,Digital Signal Processing with Student CD ROM,Sanjit Mitra,$55.32 - $203.23,4th Edition,,978-0077366766,007736676X,,,McGraw-Hill Education,McGraw-Hill Education,,,English,8.2 x 1.7 x 9.2 inches,3.8 pounds (View shipping rates and policies)
347,"Computer Accounting with Quickbooks 2011 MP -wQBPremAccCD, wStudent CD",Donna Kay,$4.72 - $123.00,13th Edition,,978-0077499860,77499867,,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,8.7 x 1.3 x 11.6 inches,3.1 pounds (View shipping rates and policies)
348,Using Information Technology ,Brian K. Williams# Stacey C. Sawyer,$1.28 ,,,978-0077523411,77523415,,A Practical Introduction to Computers & Communications,McGraw Hill,McGraw Hill,,,English,10.7 x 8.4 x 1 inches,3 pounds
349,Accounting Information Systems,Robert Hurt,$74.31 - $144.84,4th Edition,,978-0078025884,78025885,,,McGraw-Hill Education,McGraw-Hill Education,,,English,0.8 x 7.8 x 10 inches,1.8 pounds (View shipping rates and policies)
350,"Technology In Action, Student Edition",Brad Thode# Terry Thode# Brad Thode# McGraw-Hill# Terry Thode,$25.00 - $71.04,2nd Edition,,978-0078224898,78224896,,INTRODUCTION TO TECHNOLOGY,McGraw-Hill Education,McGraw-Hill Education,,,English,8.3 x 0.9 x 10.3 inches,2.6 pounds (View shipping rates and policies)
351,Technology Today And Tomorrow Student Edition 2004,Fales# Kuetemeyer# Fales# Brusic# Kuetemeyer# McGraw-Hill# Brusic,$13.94 - $76.97,5th Edition,,978-0078308291,78308291,,TECHNOLOGY,McGraw-Hill Education,McGraw-Hill Education,,,English,8 x 1 x 10.3 inches,2.8 pounds (View shipping rates and policies)
352,Statistical Analysis for Engineers and Scientists: A Computer-Based Approach ,J. Wesley Barnes# Barnes,$10.25 , ,,978-0078396083,78396085,,,McGraw-Hill Companies ,McGraw-Hill Companies,,,English,9.6 x 7.6 x 1 inches,12.8 ounces
353,"Peter Norton's Introduction to Computers Fifth Edition,  Essential Concepts, Student Edition",McGraw-Hill,$1.08 - $49.84,5th Edition,,978-0078454509,78454506,,,Glencoe/McGraw-Hill,Glencoe/McGraw-Hill,,,English,8.7 x 0.7 x 11.2 inches,2 pounds (View shipping rates and policies)
354,"Introduction to Technology, Student Text",Alan Pierce# Dennis Karwatka# Alan Pierce# McGraw-Hill# Dennis Karwatka,$2.07 - $61.03,3rd Edition,,978-0078612190,78612195,,INTRODUCTION TO TECHNOLOGY,McGraw-Hill Education,McGraw-Hill Education,,,English,8.3 x 1.1 x 10.4 inches,2.8 pounds (View shipping rates and policies)
355,Glencoe Computer Connections: Projects and Applications Student Edition,McGraw-Hill,$8.71 - $83.96,2nd Edition,,978-0078613999,007861399X,,,Glencoe/McGraw-Hill,Glencoe/McGraw-Hill,,,English,8.6 x 0.8 x 11 inches,2.4 pounds (View shipping rates and policies)
356,"Wood Technology and Processes, Student Edition",McGraw-Hill# John Feirer# McGraw-Hill,$57.95 ,,,,,,,,,,,,,
357,"Glencoe Keyboarding with Computer Applications, Lessons 1-150 ",McGraw-Hill Education,$6.17 - $104.87,1st Edition,,978-0078693168,78693160,,JOHNSON,McGraw-Hill Education,McGraw-Hill Education,,,English,8.6 x 1.2 x 11 inches,2.9 pounds (View shipping rates and policies)
358,"Introduction To Web Design, Using Dreamweaver, Student Edition",McGraw-Hill Education,$14.95 - $85.25,1st Edition,,978-0078729898,78729890,,WEB DESIGN USING DREAMWEAVER,McGraw-Hill Education,McGraw-Hill Education,,,English,8.6 x 1 x 11.1 inches,3 pounds (View shipping rates and policies)
359,"Introduction To Web Design, Using Dreamweaver, Student Workbook",McGraw-Hill Education,$39.50 - $53.17,1st Edition,,978-0078736872,78736870,108 pages,WEB DESIGN USING DREAMWEAVER,McGraw-Hill Education,McGraw-Hill Education,,,English,8.3 x 0.2 x 10.8 inches,8 ounces (View shipping rates and policies)
360,"Succeeding in the World of Work, Student Edition ",McGraw-Hill Education,$18.36 - $95.66,1st Edition,,978-0078748288,78748283,,SUCCEEDING IN THE WOW,McGraw-Hill Education,McGraw-Hill Education,,,English,9 x 0.8 x 11.2 inches,3.6 pounds (View shipping rates and policies)
361,"Computer Concepts in Action, Student Edition ",McGraw-Hill Education,$0.06 - $82.88,2nd Edition,,978-0078805776,78805775,,INTRO TO OPERATING SYSTEMS,McGraw-Hill Education,McGraw-Hill Education,,,English,8.7 x 1.1 x 11.1 inches,3.1 pounds (View shipping rates and policies)
362,Railroad Tycoon: Master Strategies for Empire Builders,Shay Addams,$0.01 ,,,978-0078817281,78817285,208 pages,,Mcgraw-Hill Osborne Media ,Mcgraw-Hill Osborne Media,,,English,0.8 x 7.5 x 9.5 inches,15.2 ounces
363,Earl Weaver Baseball Hall of Fame League,Kevin Shafer,$5.64 ,,,978-0078818448,78818443,490 pages,,Mcgraw-Hill Osborne Media ,Mcgraw-Hill Osborne Media,,,English,0.8 x 7.5 x 9.5 inches,1.7 pounds
364,The Space Quest Companion,Peter Spear# Jeremy Spear,$5.32 ,,,978-0078819599,78819598,436 pages,,Mcgraw-Hill Osborne Media,Mcgraw-Hill Osborne Media,,,English,0.8 x 7.5 x 9.2 inches,1.4 pounds
365,Dvorak Predicts: An Insider's Look at the Computer Industry,John C. Dvorak,$0.01 ,,,978-0078819810,78819814,,,Mcgraw-Hill Osborne Media,Mcgraw-Hill Osborne Media,,,English,0.8 x 7.5 x 9.5 inches,1 pounds
366,Networking Technologies: A Complete Guide to Passing the Novell Cne Exam ,Andres Fortino# Arnold Villeneuve,$4.76 , ,,978-0079123121,79123120,560 pages,McGraw-Hill Series on Computer Communications,Computing Mcgraw-Hill ,Computing Mcgraw-Hill,,,English,1.2 x 7.2 x 9.2 inches,2.2 pounds
367,Hands-On TCP/IP,Paul Simoneau# Simoneau,$0.31 ,,,978-0079126405,79126405,375 pages,McGraw-Hill Series on Computer Communications,Osborne/McGraw-Hill ,Osborne/McGraw-Hill,,,English,9.2 x 7.4 x 1.1 inches,1.8 pounds
368,C Programming for Engineering and Computer Science ,H.H. Tan# Tim D'Orazio,$2.98 ,1st Edition,,978-0079136787,79136788,,Mcgraw-Hill's Best--Basic Engineering Series and Tools,McGraw-Hill Education,McGraw-Hill Education,,,English,7.2 x 1.1 x 9.1 inches,2.6 pounds (View shipping rates and policies)
369,Linear Control Systems: A Computer-Aided Approach ,M. Malek-Zavarei# M. Jamshidi# M. Malek-Zavarei,$19.21 , ,,978-0080287027,80287026,520 pages,International Series on Systems and Control (Book 7),Pergamon ,Pergamon,,,English,,2.2 pounds
370,Geological Problem Solving with Lotus 1-2-3 for Exploration and Mining Geology,George S. Koch,$5.50 ,1st Edition,,978-0080369419,80369413,,Computer Methods in the Geosciences (Book 8),Pergamon Pr,Pergamon Pr,,,English,,
371,"Geographic Information Systems for Geoscientists, Volume 13: Modelling with GIS ",G.F. Bonham-Carter# Daniel F Merriam# G.F. Bonham-Carter,$37.47 - $72.95, ,,978-0080424200,80424201,416 pages,Computer Methods in the Geosciences (Book 13),Pergamon ,Pergamon,,,English,6.2 x 1 x 9.5 inches,1.7 pounds (View shipping rates and policies)
372,Computer Games and Team and Individual Learning,Harry ONeil# Ray Perez# Harry ONeil,$18.00 - $119.95,1st Edition,,978-0080453439,80453430,,,Emerald Group Publishing Limited,Emerald Group Publishing Limited,,,English,1 x 6.8 x 9.8 inches,1 pounds (View shipping rates and policies)
373,"PIC Microcontroller Projects in C, Second Edition: Basic to Advanced",Dogan Ibrahim,$25.83 ,2nd Edition,,978-0080999241,80999247,660 pages,,Newnes,Newnes,,,English,7.5 x 1.5 x 9.2 inches,3 pounds (View shipping rates and policies)
374,Itil. Ict Infrastructure Management: Bip 0055:2004 ,Central Computer & Telecommunications AG,$10.12 , ,,978-0113308651,113308655,297 pages,It Infrastructure Library Series,Stationery Office Books ,Stationery Office Books,,,English,0.5 x 8.2 x 11.5 inches,2.4 pounds
375,Key Element Guide Itil Service Transition: Aligned to the 2011 Editions,Stuart Rance# Great Britain: Cabinet Office,$11.21 ,,,978-0113313624,113313624,104 pages,,TSO,TSO,,,English,4.3 x 0.3 x 5.9 inches,3.5 ounces
376,Key Element Guide ITIL Continual Service Improvement: Aligned to the 2011 Editions,Stationery Office (Great Britain),$19.50 ,,,978-0113313648,113313640,95 pages,,TSO,TSO,,,English,0.5 x 4.2 x 5.5 inches,3.5 ounces (View shipping rates and policies)
377,"Data Acquisition Techniques Using PCs, Second Edition ",Howard Austerlitz,$96.99 ,2nd Edition,,978-0120683772,120683776,,IDC Technology,Academic Press,Academic Press,,,English,6 x 1 x 9 inches,1.7 pounds (View shipping rates and policies)
378,Visualizing Quaternions ,Andrew J. Hanson,$46.52 ,1st Edition,,978-0120884001,120884003,,The Morgan Kaufmann Series in Interactive 3D Technology,Morgan Kaufmann,Morgan Kaufmann,,,English,1 x 7.5 x 9.2 inches,2 pounds (View shipping rates and policies)
379,GMPLS: Architecture and Applications ,Adrian Farrel# Igor Bryskin,$14.71 - $30.40, ,,978-0120884223,120884224,400 pages,The Morgan Kaufmann Series in Networking,Morgan Kaufmann ,Morgan Kaufmann,,,English,7.4 x 1 x 9.4 inches,2 pounds (View shipping rates and policies)
380,User Interface Design and Evaluation ,Debbie Stone# Caroline Jarrett# Mark Woodroffe# Shailey Minocha# Mark Woodroffe,$19.59 - $47.21, ,,978-0120884360,120884364,704 pages,Interactive Technologies,Morgan Kaufmann ,Morgan Kaufmann,,,English,1.5 x 7.5 x 9 inches,2.9 pounds (View shipping rates and policies)
381,"Network Algorithmics,: An Interdisciplinary Approach to Designing Fast Networked Devices ",George Varghese,$43.93 ,1st Edition,,978-0120884773,120884771,,The Morgan Kaufmann Series in Networking,Morgan Kaufmann,Morgan Kaufmann,,,English,7.4 x 1.1 x 9.2 inches,2.6 pounds (View shipping rates and policies)
382,X3D: Extensible 3D Graphics for Web Authors ,Don Brutzman# Leonard Daly,$24.88 - $51.40,1st Edition,,978-0120885008,012088500X,472 pages,,Morgan Kaufmann,Morgan Kaufmann,,,English,7.4 x 1.1 x 9.2 inches,2.2 pounds (View shipping rates and policies)
383,Multilingual Speech Processing,Tanja Schultz# Katrin Kirchhoff# Tanja Schultz,$44.97 ,1st Edition,,978-0120885015,120885018,,,Academic Press,Academic Press,,,English,6 x 1.2 x 9 inches,2.2 pounds (View shipping rates and policies)
384,Effective Prototyping for Software Makers ,Jonathan Arnowitz# Michael Arent# Nevin Berger# Michael Arent,$32.09 ,1st Edition,,978-0120885688,120885689,624 pages,Interactive Technologies,Morgan Kaufmann,Morgan Kaufmann,,,English,9.2 x 7.4 x 1 inches,2.6 pounds
385,Effective Prototyping with Excel: A practical handbook for developers and designers ,Nevin Berger# Michael Arent# Nevin Berger# Jonathan Arnowitz# Michael Arent# Fred Sampson,$17.99 - $43.08,1st Edition,,978-0120885824,120885824,240 pages,Interactive Technologies,Morgan Kaufmann,Morgan Kaufmann,,,English,7.5 x 0.6 x 9.2 inches,1.4 pounds (View shipping rates and policies)
386,"The Designer's Guide to VHDL, Third Edition ",Peter J. Ashenden,$21.49 - $44.39,3rd Edition,,978-0120887859,120887851,,,Morgan Kaufmann,Morgan Kaufmann,,,English,9.6 x 7.8 x 2.1 inches,3.8 pounds (View shipping rates and policies)
387,"Cost-Justifying Usability, Second Edition: An Update for the Internet Age, Second Edition ",Randolph G. Bias# Deborah J. Mayhew# Randolph G. Bias,$43.93 ,2nd Edition,,978-0120958115,120958112,640 pages,Interactive Technologies,Morgan Kaufmann,Morgan Kaufmann,,,English,1.2 x 7.2 x 9 inches,3 pounds (View shipping rates and policies)
388,Enterprise Directory and Security Implementation Guide: Designing and Implementing Directories in Your Organization ,Charles Carrington# Tim Speed# Charles Carrington# Juanita Ellis# Tim Speed# Steffano Korper# Juanita Ellis,$32.42 ,1st Edition,,978-0121604523,121604527,272 pages,The Korper and Ellis E-Commerce Books Series,Academic Press,Academic Press,,,English,7.5 x 0.6 x 9.4 inches,1 pounds (View shipping rates and policies)
389,Handbook of Computer Crime Investigation: Forensic Tools and Technology,Eoghan Casey,$16.14 - $33.36,1st Edition,,978-0121631031,121631036,448 pages,,Academic Press,Academic Press,,,English,6.6 x 1 x 9.6 inches,1.6 pounds (View shipping rates and policies)
390,"Investigating Child Exploitation and Pornography: The Internet, Law and Forensic Science",Monique Ferraro# Eoghan Casey,$25.02 - $51.69,1st Edition,,978-0121631055,121631052,,,Academic Press,Academic Press,,,English,0.8 x 7.2 x 9.5 inches,2.4 pounds (View shipping rates and policies)
391,"Network Processor Design, Volume 2: Issues and Practices, Volume 2 ",Mark A. Franklin# Patrick Crowley# Mark A. Franklin# Haldun Hadimioglu# Patrick Crowley# Peter Z. Onufryk# Haldun Hadimioglu,$45.48 ,1st Edition,,978-0121981570,121981576,464 pages,The Morgan Kaufmann Series in Computer Architecture and Design (Book 2),Morgan Kaufmann,Morgan Kaufmann,,,English,7.3 x 1.1 x 9.3 inches,1.9 pounds (View shipping rates and policies)
392,Principles and Practices of Interconnection Networks ,William James Dally# Brian Patrick Towles# William James Dally,$45.48 ,1st Edition,,978-0122007514,122007514,,The Morgan Kaufmann Series in Computer Architecture and Design,Morgan Kaufmann,Morgan Kaufmann,,,English,7.7 x 9.3 x 1.4 inches,3 pounds (View shipping rates and policies)
393,Output Hardcopy Devices ,Robert C. Durbeck# Sol Sherr# Robert C. Durbeck,$10.27 ,,,978-0122250408,122250400,,Computer Graphics -- Technology and Applications,Academic Pr ,Academic Pr,,,English,9.1 x 6 x 1.3 inches,2 pounds
394,3D Game Engine Design: A Practical Approach to Real-Time Computer Graphics ,David H. Eberly,$62.37 ,2nd Edition,,978-0122290633,122290631,,Morgan Kaufmann Series in Interactive 3D Technology,CRC Press,CRC Press,,,English,9.5 x 7.8 x 2 inches,4.9 pounds (View shipping rates and policies)
395,3D Game Engine Architecture: Engineering Real-Time Applications with Wild Magic ,David H. Eberly,$68.94 ,,,,,,,,,,,,,
396,Information Superhighways: Multimedia Users and Futures ,Stephen J. Emmott# Andrew F. Monk# Stephen J. Emmott# Brian R. Gaines# Andrew F. Monk,$2.62 - $132.00,1st Edition,,978-0122383601,122383605,,Computers and People,Morgan Kaufmann,Morgan Kaufmann,,,English,0.8 x 6.2 x 9.5 inches,1.3 pounds (View shipping rates and policies)
397,An Introduction to Ray Tracing ,Eric Haines# Pat Hanrahan# Robert L. Cook# Pat Hanrahan# James Arvo# Robert L. Cook# David Kirk# James Arvo# Paul S. Heckbert# David Kirk# Andrew S. Glassner# Paul S. Heckbert,$69.30 ,1st Edition,,978-0122861604,122861604,,,Academic Press,Academic Press,,,English,0.8 x 6 x 9 inches,1.3 pounds (View shipping rates and policies)
398,Understanding the Light Microscope: A Computer-Aided Introduction,D. J. Goldstein,$45.00 ,1st Edition,,978-0122886607,122886607,160 pages,,Academic Press,Academic Press,,,English,8.9 x 6 x 0.5 inches,11.4 ounces
399,Rapid Contextual Design: A How-to Guide to Key Techniques for User-Centered Design ,Karen Holtzblatt# Jessamyn Burns Wendell# Shelley Wood# Jessamyn Burns Wendell,$28.42 , ,123540518,978-0123540515,9.78E+12,320 pages,Interactive Technologies,Morgan Kaufmann ,Morgan Kaufmann,,,English,8.4 x 0.7 x 11.2 inches,2 pounds (View shipping rates and policies)
400,Game Physics Engine Development ,Ian Millington,$0.00 ,1st Edition,,978-0123694713,012369471X,,The Morgan Kaufmann Series in Interactive 3D Technology,CRC Press,CRC Press,,,English,9.4 x 7.9 x 1.1 inches,1.4 pounds
401,Multimedia Security Technologies for Digital Rights Management,Wenjun Zeng# Heather Yu# Wenjun Zeng# Ching-Yung Lin# Heather Yu,$30.97 - $63.99,1st Edition,,978-0123694768,123694760,,,Academic Press,Academic Press,,,English,6.1 x 1.1 x 9.2 inches,2 pounds (View shipping rates and policies)
402,Letting Go of the Words: Writing Web Content that Works ,Janice (Ginny) Redish,$20.51 ,1st Edition,,978-0123694867,123694868,384 pages,Interactive Technologies,Morgan Kaufmann,Morgan Kaufmann,,,English,9.3 x 7.5 x 0.8 inches,1.7 pounds
403,"Fast SOA: The way to use native XML technology to achieve Service Oriented Architecture governance, scalability, and performance ",Frank Cohen,$15.68 - $44.76,1st Edition,,978-0123695130,123695139,296 pages,The Morgan Kaufmann Series in Data Management Systems,Morgan Kaufmann,Morgan Kaufmann,,,English,7.4 x 0.6 x 9.7 inches,1.4 pounds (View shipping rates and policies)
404,"Computer Architecture: A Quantitative Approach, 4th Edition",John L. Hennessy# David A. Patterson,$54.73 ,4th Edition,,978-0123704900,123704901,704 pages,,Morgan Kaufmann,Morgan Kaufmann,,,English,9.3 x 7.3 x 1.1 inches,2.6 pounds
405,VLSI Test Principles and Architectures: Design for Testability ,Laung-Terng Wang# Cheng-Wen Wu# Laung-Terng Wang# Xiaoqing Wen# Cheng-Wen Wu,$20.26 - $41.86,1st Edition,,978-0123705976,123705975,,The Morgan Kaufmann Series in Systems on Silicon,Morgan Kaufmann,Morgan Kaufmann,,,English,2 x 7.5 x 9.2 inches,4 pounds (View shipping rates and policies)
406,Web Dragons: Inside the Myths of Search Engine Technology ,Ian H. Witten# Marco Gori Ph.D.# Teresa Numerico# Marco Gori Ph.D.,$31.88 ,1st Edition,,978-0123706096,123706092,288 pages,The Morgan Kaufmann Series in Multimedia Information and Systems,Morgan Kaufmann,Morgan Kaufmann,,,English,7.6 x 0.6 x 9.4 inches,1.3 pounds (View shipping rates and policies)
407,Keeping Found Things Found: The Study and Practice of Personal Information Management ,William Jones,$48.49 ,1st Edition,,978-0123708663,123708664,448 pages,,Morgan Kaufmann,Morgan Kaufmann,,,English,7.5 x 1 x 9.2 inches,2.1 pounds (View shipping rates and policies)
